Result summary,,,,,,,,,,,,,,
Team,Span,Mat,Won,Lost,Draw,Tied,Tie+W,Tie+L,NR,W/L,%W,%L,%D,%
Norway,2019-2025,35,17,18,0,0,0,0,0,0.944,48.57,51.42,-,48.57
Oman,2015-2025,98,44,51,0,0,1,1,1,0.862,44.89,52.04,-,46.39
Pakistan,2006-2025,258,145,102,0,0,1,3,7,1.421,56.2,39.53,-,58.56
Panama,2019-2025,28,9,19,0,0,0,0,0,0.473,32.14,67.85,-,32.14
Papua New Guinea,2015-2024,65,35,29,0,0,0,0,1,1.206,53.84,44.61,-,54.68
Peru,2019-2019,4,2,2,0,0,0,0,0,1,50,50,-,50
Philippines,2019-2024,30,8,20,0,0,1,0,1,0.4,26.66,66.66,-,29.31
Portugal,2019-2025,30,22,8,0,0,0,0,0,2.75,73.33,26.66,-,73.33
Qatar,2019-2025,66,33,28,0,0,2,1,2,1.178,50,42.42,-,53.9
Romania,2019-2024,46,31,15,0,0,0,0,0,2.066,67.39,32.6,-,67.39
Rwanda,2021-2024,101,29,69,0,0,0,1,2,0.42,28.71,68.31,-,29.79
Samoa,2019-2024,19,6,13,0,0,0,0,0,0.461,31.57,68.42,-,31.57
Saudi Arabia,2019-2025,58,32,26,0,0,0,0,0,1.23,55.17,44.82,-,55.17
Scotland,2007-2024,102,46,51,0,1,0,0,4,0.901,45.09,50,-,47.44
Serbia,2019-2024,33,8,24,0,0,0,0,1,0.333,24.24,72.72,-,25
Seychelles,2021-2024,18,2,13,0,0,0,0,3,0.153,11.11,72.22,-,13.33
Sierra Leone,2021-2024,38,15,23,0,0,0,0,0,0.652,39.47,60.52,-,39.47
Singapore,2019-2025,62,22,37,0,0,0,1,2,0.594,35.48,59.67,-,37.5
Slovenia,2022-2024,10,3,7,0,0,0,0,0,0.428,30,70,-,30
South Africa,2005-2024,196,108,84,0,0,1,0,3,1.285,55.1,42.85,-,56.21
South Korea,2022-2024,10,0,10,0,0,0,0,0,-,-,100,-,-
Spain,2019-2024,44,35,8,0,0,0,0,1,4.375,79.54,18.18,-,81.39
Sri Lanka,2006-2025,203,90,106,0,0,2,3,2,0.849,44.33,52.21,-,46.01
St Helena,2022-2024,12,3,7,0,0,0,0,2,0.428,25,58.33,-,30
Suriname,2024-2024,8,2,6,0,0,0,0,0,0.333,25,75,-,25
Sweden,2021-2024,25,10,14,0,0,0,1,0,0.714,40,56,-,42
Switzerland,2021-2024,22,14,8,0,0,0,0,0,1.75,63.63,36.36,-,63.63
Tanzania,2021-2024,68,41,24,0,0,0,0,3,1.708,60.29,35.29,-,63.07
Thailand,2019-2025,49,19,30,0,0,0,0,0,0.633,38.77,61.22,-,38.77
Turkey,2019-2024,16,1,14,0,0,0,0,1,0.071,6.25,87.5,-,6.66
Turks and Caicos Island,2025-2025,4,1,3,0,0,0,0,0,0.333,25,75,-,25
Uganda,2019-2024,107,81,23,0,0,0,0,3,3.521,75.7,21.49,-,77.88
United Arab Emirates,2014-2024,118,66,51,0,0,0,0,1,1.294,55.93,43.22,-,56.41
United States of America,2019-2025,54,29,20,0,0,2,1,2,1.45,53.7,37.03,-,58.65
Vanuatu,2019-2024,40,17,23,0,0,0,0,0,0.739,42.5,57.5,-,42.5
West Indies,2006-2024,216,93,109,0,0,2,1,11,0.853,43.05,50.46,-,46.09
Zimbabwe,2006-2025,164,56,103,0,0,2,0,3,0.543,34.14,62.8,-,35.4
